text,label,preprocessed_text
"He glorified himself as a great supporting actor in `Glory', he proved he was no `Malcolm in the Middle' mediocre actor in `Malcolm X', he showed his brotherly love for acting in `Philadelphia', he pulled a slam dunk in `He Got Game', he pulled no punches and rocked us like a hurricane in `The Hurricane', he provided us effective thespian education in `Training Day', and now he has demonstrated that he could also direct! Denzel Washington's directorial debut `Antwone Fisher' is the most moving film of the year. This tearjerker `fish'er story is in no relation to the debacle that happened to the Miami Dolphins in the 4th quarter against the New England Patriots in the last game of the 2002 season. Unlike that Dolphin tragedy, `Antwone Fisher' possesses an emotional joyous conclusion. The movie is based on a true story about a young naval officer who has an anger management problem due to the abhorrent he suffered as a foster child. Denzel plays the naval psychologist who helps Antwone overcome his rage and convinces him to find his natural mother. Derek Luke's debut performance as Antwone is the best admirable acting I have seen by a novice actor in some time now. I actually saw some of the detailed eccentricities in Luke's acting as I have seen in Washington's past performances. It was like if Washington was telling Luke- ` la la la Luke I am your acting father'. Ok! I will lay off the Star Wars jokes before my readers send me to a galaxy far far away. Speaking of the great Denzel, his work as the psychologist was masterful. But what can you expect from the acting `Master D' himself. `Antwone Fisher' was written by no other than Antwone Fisher himself. The emotional pathos he inserted in his storylife's screenplay was of `fisher king' material. I hail to the chief `Mr. Washington' in catching the right bait in `Antwone Fisher'. ***** Excellent",1,he glorified himself as a great supporting actor in  glory  he proved he was no  malcolm in the middle mediocre actor in  malcolm x  he showed his brotherly love for acting in  philadelphia  he pulled a slam dunk in  he got game  he pulled no punches and rocked us like a hurricane in  the hurricane  he provided us effective thespian education in  training day  and now he has demonstrated that he could also direct  denzel washingtons directorial debut  antwone fisher is the most moving film of the year  this tearjerker  fisher story is in no relation to the debacle that happened to the miami dolphins in the 4th quarter against the new england patriots in the last game of the 2002 season  unlike that dolphin tragedy   antwone fisher possesses an emotional joyous conclusion  the movie is based on a true story about a young naval officer who has an anger management problem due to the abhorrent he suffered as a foster child  denzel plays the naval psychologist who helps antwone overcome his rage and convinces him to find his natural mother  derek lukes debut performance as antwone is the best admirable acting i have seen by a novice actor in some time now  i actually saw some of the detailed eccentricities in lukes acting as i have seen in washingtons past performances  it was like if washington was telling luke    la la la luke i am your acting father  ok  i will lay off the star wars jokes before my readers send me to a galaxy far far away  speaking of the great denzel  his work as the psychologist was masterful  but what can you expect from the acting  master d himself   antwone fisher was written by no other than antwone fisher himself  the emotional pathos he inserted in his storylifes screenplay was of  fisher king material  i hail to the chief  mr  washington in catching the right bait in  antwone fisher        excellent
"I was watching this with one of my friends, who is a vampire freak, and I was extremely disgusted at the fact that this film exists. This film should be shown to prisoners of war, yes, it's that bad. Even John McCain wouldn't be able to sit through this. So why the 3/10 rating? Because it had a vampire midget. Come on, what's more entertaining than a vampire midget? There's one scene in this film where John Savage gets laid by saying ""I want to feel human again,"" and the chick, being the brainless stripper slut she is, lets him ""feel human"". I wish I could ""feel human"" with Jessica Alba or Megan Fox. This is a movie for stoners. There is bright flashy objects and random movements. All in all, don't waste your money on this garbage. I got it for free when I was walking down the street with my friend and we saw a garbage barrel full of video tapes and a sign that said ""free"". So, in a way, I didn't get ripped off, but still...",0,i was watching this with one of my friends  who is a vampire freak  and i was extremely disgusted at the fact that this film exists  this film should be shown to prisoners of war  yes  its that bad  even john mccain wouldnt be able to sit through this  so why the 3 10 rating  because it had a vampire midget  come on  whats more entertaining than a vampire midget  theres one scene in this film where john savage gets laid by saying  i want to feel human again   and the chick  being the brainless stripper slut she is  lets him  feel human   i wish i could  feel human  with jessica alba or megan fox  this is a movie for stoners  there is bright flashy objects and random movements  all in all  dont waste your money on this garbage  i got it for free when i was walking down the street with my friend and we saw a garbage barrel full of video tapes and a sign that said  free   so  in a way  i didnt get ripped off  but still   
"One of several musicals about sailors on leave, it is the usual sailor meets girl, complications ensue, sorted out happily kind of plot. It proceeds along smoothly enough but it does drag in places too. The dialogue is not as zippy as 'Top Hat' for example and Randolph Scott seems out of place.<br /><br />There are compensations. It has some of Irving Berlin's choicest songs including 'Let Yourself Go', 'I'm Putting all My Eggs in One Basket' and 'Let's Face the Music and Dance'. It has Fred and Ginger who when they are dancing take any film into heavenly heights and they don't disappoint here. They do a snappy tap dance, a knockabout comic dance and a swirling graceful dance, all in the same film! Great versatility and artistry.<br /><br />It also has Harriet Hilliard who is rather good in her role. She had a varied career, becoming the more famous Harriet Nelson with Ozzie. Here she is touching without being sentimental.Her two songs are simply and effectively delivered. She makes a good contrast with Ginger but you can believe they are sisters in the film. <br /><br />More tightening up have made the film even better. Pretty good though.",1,one of several musicals about sailors on leave  it is the usual sailor meets girl  complications ensue  sorted out happily kind of plot  it proceeds along smoothly enough but it does drag in places too  the dialogue is not as zippy as top hat for example and randolph scott seems out of place  there are compensations  it has some of irving berlins choicest songs including let yourself go  im putting all my eggs in one basket and lets face the music and dance  it has fred and ginger who when they are dancing take any film into heavenly heights and they dont disappoint here  they do a snappy tap dance  a knockabout comic dance and a swirling graceful dance  all in the same film  great versatility and artistry  it also has harriet hilliard who is rather good in her role  she had a varied career  becoming the more famous harriet nelson with ozzie  here she is touching without being sentimental her two songs are simply and effectively delivered  she makes a good contrast with ginger but you can believe they are sisters in the film   more tightening up have made the film even better  pretty good though 
"Parker and Stone transplant their pacy expletive-ridden humour from their animated masterpiece to a feature length live action film with generally good results. Much of the film is Trey and Matt running amok with their new toy box. The plot is simplicity itself: two average guys invent a new sport, a blend of driveway basketball with baseball scoring which becomes a national craze. Along the way they encounter numerous sporting movie cliches and send them up, along with any other bit of popular culture that comes into their sights. It runs like a stretched South Park episode, with the usual machine-gun dialogue, toilet humour and homilies from the heart.<br /><br />If this film has a weakness it is the association with the team that gave us ""Airplane"" and the ""Naked Gun"" series. This influence is clearly seen with the heavy use of lame sight gags and the presence of a glossy and rather two-dimensional Yasmine Bleeth in the role usually given to Priscilla Presley. Robert Vaughn does a little better playing the corporate b**tard that has been his party piece ever since ""Bullitt"" and Ernest Borgnine overacts as only he can, but one must admit he's perfect for the role of the lunatic team owner.<br /><br />For those who haven't noticed yet, Parker and Stone seem to be more comfortable as rock star wannabes than comics. This manifests in the prominence given to the soundtrack in just about everything they create. As usual, they give a good selection here including the obligatory track by their own ultra-non-PC vehicle DVDA.<br /><br />A special mention must go to Dian Bachar, who deserves some sort of award for enduring the difficult job of playing Stan to Parker and Stone's rampaging pair of Cartmans.<br /><br />In summary, this is an entertaining comedy which is held back from its full potential by too much reliance on the ""Naked Gun/Airplane"" formula. Parker and Stone could do something truly brilliant (or absolutely awful) if given full control over a future film. America, either lock these guys up or put them in charge.",1,parker and stone transplant their pacy expletive ridden humour from their animated masterpiece to a feature length live action film with generally good results  much of the film is trey and matt running amok with their new toy box  the plot is simplicity itself  two average guys invent a new sport  a blend of driveway basketball with baseball scoring which becomes a national craze  along the way they encounter numerous sporting movie cliches and send them up  along with any other bit of popular culture that comes into their sights  it runs like a stretched south park episode  with the usual machine gun dialogue  toilet humour and homilies from the heart  if this film has a weakness it is the association with the team that gave us  airplane  and the  naked gun  series  this influence is clearly seen with the heavy use of lame sight gags and the presence of a glossy and rather two dimensional yasmine bleeth in the role usually given to priscilla presley  robert vaughn does a little better playing the corporate b  tard that has been his party piece ever since  bullitt  and ernest borgnine overacts as only he can  but one must admit hes perfect for the role of the lunatic team owner  for those who havent noticed yet  parker and stone seem to be more comfortable as rock star wannabes than comics  this manifests in the prominence given to the soundtrack in just about everything they create  as usual  they give a good selection here including the obligatory track by their own ultra non pc vehicle dvda  a special mention must go to dian bachar  who deserves some sort of award for enduring the difficult job of playing stan to parker and stones rampaging pair of cartmans  in summary  this is an entertaining comedy which is held back from its full potential by too much reliance on the  naked gun airplane  formula  parker and stone could do something truly brilliant  or absolutely awful  if given full control over a future film  america  either lock these guys up or put them in charge 
"I only gave this ridiculously titled comedy horror flick a 2 because several famous porn stars of the past appear in it. A group of tourists, supposedly on vacation in Ireland but actually in Canada, run afoul of a cannibalistic inbred mutant something or other, and the plot is more or less right out of THE HILL HAVE EYES ands WRONG TURN. Only problem is, unless I miscounted, there's only one mutant on display, and he isn't all that impressive. Sort of like the potbellied mummy in that homemade film from about five years ago. Some gory but silly deaths help, but the film is strictly amateur night and boring beyond belief. The ending is predictable and has been done to death. No pun intended.",0,i only gave this ridiculously titled comedy horror flick a 2 because several famous porn stars of the past appear in it  a group of tourists  supposedly on vacation in ireland but actually in canada  run afoul of a cannibalistic inbred mutant something or other  and the plot is more or less right out of the hill have eyes ands wrong turn  only problem is  unless i miscounted  theres only one mutant on display  and he isnt all that impressive  sort of like the potbellied mummy in that homemade film from about five years ago  some gory but silly deaths help  but the film is strictly amateur night and boring beyond belief  the ending is predictable and has been done to death  no pun intended 
"This is a truly awful film. What they have done is taken a TV show, which was never aimed at young children & given it the George Lucas treatment (i.e. ruined it by kiddifying it to appeal to the younger audience).<br /><br />OK so the Thunderbirds TV show wasn't exactly the most cerebral of shows, in fact it was pretty formulaic, but it was always enjoyable to watch (especially when the models got blown up) and the voice cast wasn't too bad.<br /><br />This suffers from bad casting & bad acting (with the notable exceptions of Sophia Myles as Lady Penelope & Ron Cook as Parker, who seem to be the only cast members to have a clue about how their characters should be played) & after this travesty I wouldn't let Frakes direct traffic.<br /><br />The whole point of Thunderbirds was that it was about the whole Tracy family & how they worked as a team, preventing disasters or coming to the rescue of those involved in disasters.<br /><br />Avoid this rubbish like the plague.<br /><br />I only give it 1 out of 10 because a zero rating is not supported.",0,this is a truly awful film  what they have done is taken a tv show  which was never aimed at young children   given it the george lucas treatment  i e  ruined it by kiddifying it to appeal to the younger audience   ok so the thunderbirds tv show wasnt exactly the most cerebral of shows  in fact it was pretty formulaic  but it was always enjoyable to watch  especially when the models got blown up  and the voice cast wasnt too bad  this suffers from bad casting   bad acting  with the notable exceptions of sophia myles as lady penelope   ron cook as parker  who seem to be the only cast members to have a clue about how their characters should be played    after this travesty i wouldnt let frakes direct traffic  the whole point of thunderbirds was that it was about the whole tracy family   how they worked as a team  preventing disasters or coming to the rescue of those involved in disasters  avoid this rubbish like the plague  i only give it 1 out of 10 because a zero rating is not supported 
"Over the past year, Uwe Boll has shown marginal improvement as a filmmaker, cranking out the competent ""In the Name of the King"" (a ""Lord of the Rings"" clone) and the proudly vulgar, post-9/11 satire ""Postal."" But then came ""Seed,"" and the counter was reset to Zero, keeping his bid for legitimacy and respect that much further out of reach. And I'm a fan of the guyhis films exhibit a uniquely screwball vision, and are never dull.<br /><br />Spawned from his frustration over the savage notices his early films received, ""Seed"" is a colossally misguided attempt at social commentary, and an even worse jab at creating an iconic slasher mythology (Boll often seems to be taking a page from Rob Zombie's successful reboot of ""Halloween""). The antagonist is Maxwell Seed (Will Sanderson), a mute, hulking brute who's slain 666 people and sits on death row, awaiting execution; after unsuccessfully frying the beast, he rises from the grave to seek revenge on those who put him there...and so begins a string of wholly gratuitous mayhem.<br /><br />Trying to create a new-millennium slasher in the vein of Michael Myers or Jason Voorhees, Max Seed is too nondescript and boring to leave an impression, ultimately resembling a washed-up pro wrestler doing ""The Toolbox Murders"" on a succession of equally boring victims. Furthermore, Seed's character and Boll's ""message"" run contrary to one another: the death penalty is wrong, sure, but are we really expected to sympathize with a soulless killer who's left a couple hundred corpses in his wake? I think not.<br /><br />Meanwhile, Michael Pare acts like a listless, long-lost brother to James Remar's character on ""Dexter"": a cop who sits at his desk a lot, thumbing through newspaper clippings, and watching pointless stop-motion scenes of decomposing animals and people trapped in Seed's lair. By the time he and a bunch of cardboard cops storm Seed's hideout, the sequence is so drawn-out, ill-conceived (the lighting is almost non-existent), and unexciting (despite a healthy dose of gore) that it almost put me to sleep.<br /><br />The shoddy film-making isn't limited to just that sequence: ""Seed"" appears to have been shot by a drunken cinematographer, since the camera bobs and weaves endlessly, a technique that's more stomach-turning than the gore itself; these protracted takes of very little happening only draw attention to the meandering, almost non-existent narrative. At 90 minutes, the film is distended enough to be considered a form of torture, which might have been Boll's intent all along.<br /><br />Pure genius...I guess the joke's on me.",0,over the past year  uwe boll has shown marginal improvement as a filmmaker  cranking out the competent  in the name of the king   a  lord of the rings  clone  and the proudly vulgar  post 9 11 satire  postal   but then came  seed   and the counter was reset to zero  keeping his bid for legitimacy and respect that much further out of reach  and im a fan of the guyhis films exhibit a uniquely screwball vision  and are never dull  spawned from his frustration over the savage notices his early films received   seed  is a colossally misguided attempt at social commentary  and an even worse jab at creating an iconic slasher mythology  boll often seems to be taking a page from rob zombies successful reboot of  halloween    the antagonist is maxwell seed  will sanderson   a mute  hulking brute whos slain 666 people and sits on death row  awaiting execution  after unsuccessfully frying the beast  he rises from the grave to seek revenge on those who put him there   and so begins a string of wholly gratuitous mayhem  trying to create a new millennium slasher in the vein of michael myers or jason voorhees  max seed is too nondescript and boring to leave an impression  ultimately resembling a washed up pro wrestler doing  the toolbox murders  on a succession of equally boring victims  furthermore  seeds character and bolls  message  run contrary to one another  the death penalty is wrong  sure  but are we really expected to sympathize with a soulless killer whos left a couple hundred corpses in his wake  i think not  meanwhile  michael pare acts like a listless  long lost brother to james remars character on  dexter   a cop who sits at his desk a lot  thumbing through newspaper clippings  and watching pointless stop motion scenes of decomposing animals and people trapped in seeds lair  by the time he and a bunch of cardboard cops storm seeds hideout  the sequence is so drawn out  ill conceived  the lighting is almost non existent   and unexciting  despite a healthy dose of gore  that it almost put me to sleep  the shoddy film making isnt limited to just that sequence   seed  appears to have been shot by a drunken cinematographer  since the camera bobs and weaves endlessly  a technique thats more stomach turning than the gore itself  these protracted takes of very little happening only draw attention to the meandering  almost non existent narrative  at 90 minutes  the film is distended enough to be considered a form of torture  which might have been bolls intent all along  pure genius   i guess the jokes on me 
"This 1991 NBC-TV movie aired six months before John Goodman's big-screen version of the life of Babe Ruth came out. For my money, there is no comparison between the two. The TV production isn't perfect but it presents the Babe's story with more depth and complexity than Goodman's one-dimensional telling. I especially enjoyed the film's depiction of the complex love-hate relationship Ruth had with Yankee manager Miller Huggins, who always understood his star player's brilliance and also kept trying to point out why Ruth's own character flaws would never let him become a manager or leader of players. The TV-movie rightly notes how Ruth never fulfilled his dream of managing the Yankees because of his flaws, while the horrible Goodman version tries to push the falsehood that Ruth was denied what should have been his for the taking.<br /><br />This film makes a great companion piece to ""Eight Men Out"" since the story starts with Ruth's arrival in New York in 1920, one year after the Black Sox Scandal and when his home run exploits literally saved baseball from ruin. Indeed, the continuity between the two films is even accentuated with John Anderson reprising his ""Eight Men Out"" role as Commissioner Kenesaw Mountain Landis.",1,this 1991 nbc tv movie aired six months before john goodmans big screen version of the life of babe ruth came out  for my money  there is no comparison between the two  the tv production isnt perfect but it presents the babes story with more depth and complexity than goodmans one dimensional telling  i especially enjoyed the films depiction of the complex love hate relationship ruth had with yankee manager miller huggins  who always understood his star players brilliance and also kept trying to point out why ruths own character flaws would never let him become a manager or leader of players  the tv movie rightly notes how ruth never fulfilled his dream of managing the yankees because of his flaws  while the horrible goodman version tries to push the falsehood that ruth was denied what should have been his for the taking  this film makes a great companion piece to  eight men out  since the story starts with ruths arrival in new york in 1920  one year after the black sox scandal and when his home run exploits literally saved baseball from ruin  indeed  the continuity between the two films is even accentuated with john anderson reprising his  eight men out  role as commissioner kenesaw mountain landis 
"Wow...I don't know what to say. I just watched Seven Pounds. No one can make me cry like Will Smith. The man is very in-tune with the vast range of human emotion. This movie was skillfully and beautifully done. Rare to find such intense humanity in Hollywood today. I would compare it to ""Pay it Forward"" and ""Crash"" as far as the show of both light and dark in such a raw way. Definitely sticks with you for a long time and gives you a lot to think about. I have a deep love for and passion about movies like this one. Not usually one for a ""bad ending"" but rather a truth seeker that embraces emotion, raw life and something more than the shallowness that exists in abundance all around. Therefore I do not mind a little pain at the end. It is true to life that there aren't always happy endings. Sometimes its just not the happy ending you think it should be. Many people were able to live happy lives though love and life of one was lost. If you are someone who looks a little deeper than the rest you'll love this movie!",1,wow   i dont know what to say  i just watched seven pounds  no one can make me cry like will smith  the man is very in tune with the vast range of human emotion  this movie was skillfully and beautifully done  rare to find such intense humanity in hollywood today  i would compare it to  pay it forward  and  crash  as far as the show of both light and dark in such a raw way  definitely sticks with you for a long time and gives you a lot to think about  i have a deep love for and passion about movies like this one  not usually one for a  bad ending  but rather a truth seeker that embraces emotion  raw life and something more than the shallowness that exists in abundance all around  therefore i do not mind a little pain at the end  it is true to life that there arent always happy endings  sometimes its just not the happy ending you think it should be  many people were able to live happy lives though love and life of one was lost  if you are someone who looks a little deeper than the rest youll love this movie 
"I love cinema so what I'm about to confess embarrasses me deeply. I had given a thumbs down to ""Che, Parts 1 and 2"" without having seen the film. Terrible I know. But I felt into a trap perpetrated by...who? I don't really know but there has been a negative word of mouth that spread like wild fire and, no matter how smart I think I am, I fell into it. But, thankfully, I bumped into an Argeninean film director, Martin Donovan, a man I love and admire. When I told him I wasn't going to see it because I knew the film was a failure he looked at me as if he was ready to punch me right on the face and Donovan is a pacifist! He took me aside and told me how much he loved the film and why. I went to see both parts straight away and, ""Che, part 1 and 2"" is the best film I've seen in 2008. It is, of such purity that it will remind you of the work of some of the great masters of the past. The regard for its audience is something that we're not used to anymore. I don't know if we ever were. Riveting, moving, without concessions and Benicio del Toro is just extraordinary. We can see his soul, we can actually perceive it. The humanity of the man is overwhelming. So, thank you Martin Donovan once again for educating me so honestly. Bravo Del Toro, Bravo Soderbergh and everyone involved in this landmark film. Don't commit the mistake I was about to commit. Go see it, now, on the big screen",1,i love cinema so what im about to confess embarrasses me deeply  i had given a thumbs down to  che  parts 1 and 2  without having seen the film  terrible i know  but i felt into a trap perpetrated by   who  i dont really know but there has been a negative word of mouth that spread like wild fire and  no matter how smart i think i am  i fell into it  but  thankfully  i bumped into an argeninean film director  martin donovan  a man i love and admire  when i told him i wasnt going to see it because i knew the film was a failure he looked at me as if he was ready to punch me right on the face and donovan is a pacifist  he took me aside and told me how much he loved the film and why  i went to see both parts straight away and   che  part 1 and 2  is the best film ive seen in 2008  it is  of such purity that it will remind you of the work of some of the great masters of the past  the regard for its audience is something that were not used to anymore  i dont know if we ever were  riveting  moving  without concessions and benicio del toro is just extraordinary  we can see his soul  we can actually perceive it  the humanity of the man is overwhelming  so  thank you martin donovan once again for educating me so honestly  bravo del toro  bravo soderbergh and everyone involved in this landmark film  dont commit the mistake i was about to commit  go see it  now  on the big screen
