text,label,preprocessed_text
"The first time I ever saw this movie was back in the 1980s as a wee lad. My dad actually recorded it off the TV. I must have watched is over 20 times, before the relatively recent release on DVD.<br /><br />I of course bought and watched the DVD and was taken aback by how much the dialogue had changed. In the first version, which I still have on VHS, the mood of the film, thanks to the dialogue, was actually very dark. However the new version, featuring Van Der Beek et al, is more comic.<br /><br />To put it another way, it's like watching the original US release of Akira with that dub, before watching the remastered version with the literal translation of the Japanese.<br /><br />I'm in no way complaining, the story and quality of animation are not detracted from, but it does raise the question of whether Miyazaki intended for a lighter or darker narrative and theme in his film.....",1,the first time i ever saw this movie was back in the 1980s as a wee lad  my dad actually recorded it off the tv  i must have watched is over 20 times  before the relatively recent release on dvd  i of course bought and watched the dvd and was taken aback by how much the dialogue had changed  in the first version  which i still have on vhs  the mood of the film  thanks to the dialogue  was actually very dark  however the new version  featuring van der beek et al  is more comic  to put it another way  its like watching the original us release of akira with that dub  before watching the remastered version with the literal translation of the japanese  im in no way complaining  the story and quality of animation are not detracted from  but it does raise the question of whether miyazaki intended for a lighter or darker narrative and theme in his film     
"This movie was just terrible, the first movie wasn't that great i mean it's ridiculously stupid if they didn't have enough with the first 5 films you had to add another one, why just not make this into an ongoing series like James Bond, i'll tell you exactly why because the bond films are actually very very good and these films just stink, i don't understand, was this supposed to be a cross between to genres like horror and comedy for goodness sakes my 1 year old niece wouldn't be scared of such a ridiculous attempt at horror, a spit in the face of people who at least want to be scared at some point in a so called horror film. Please no more of these movies.",0,this movie was just terrible  the first movie wasnt that great i mean its ridiculously stupid if they didnt have enough with the first 5 films you had to add another one  why just not make this into an ongoing series like james bond  ill tell you exactly why because the bond films are actually very very good and these films just stink  i dont understand  was this supposed to be a cross between to genres like horror and comedy for goodness sakes my 1 year old niece wouldnt be scared of such a ridiculous attempt at horror  a spit in the face of people who at least want to be scared at some point in a so called horror film  please no more of these movies 
"The one thing that occurred to me after watching this drivel, was i would never get the time I used to watch this, back again. If you want to see Stacey keach and Michael dorn try and earn what must have been then, the down payments on a holiday home then stay tuned. Wooden acting, poor special effects, the only comedic highlight was whilst our alien hero was in female form and this is over as soon as she has done her obligatory b-movie nude sex scene within 30 mins into the movie. The opportunity to have made what could have been a decent movie disappears the moment Nicole Eggbert clocks the alien in a bar within 30 seconds, whilst the Police, Military and Joe public don't cotton on that the woman drinking coffee, dosn't use the cup handle and wears four jumpers at once. She must obviously be from another planet. Just where I wish I was when this movie was on.",0,the one thing that occurred to me after watching this drivel  was i would never get the time i used to watch this  back again  if you want to see stacey keach and michael dorn try and earn what must have been then  the down payments on a holiday home then stay tuned  wooden acting  poor special effects  the only comedic highlight was whilst our alien hero was in female form and this is over as soon as she has done her obligatory b movie nude sex scene within 30 mins into the movie  the opportunity to have made what could have been a decent movie disappears the moment nicole eggbert clocks the alien in a bar within 30 seconds  whilst the police  military and joe public dont cotton on that the woman drinking coffee  dosnt use the cup handle and wears four jumpers at once  she must obviously be from another planet  just where i wish i was when this movie was on 
"I had high expectations for this indie having perused the many thumbs up reviews. Then....<br /><br />Here's my additional 'two cents' to the already posted, excellent 'lost in translation' review. Premise: Morgan is 'stuck' in a dusty small town where he meets lovely Scarlet who is working in the local supermarket. Can Morgan help elevate the lovely Scarlet from her trailer trash life?<br /><br />Realistic dialog? NOT. How about that shopping in Target. First, Freeman looks at the Target interior as if he's walked into Harrods. Then, he's bowled over at a T-shirt rack confirming he has NEVER been in any store visited by lovely Scarlet. Morgan is detached from any and all aspects of Scarlet's reality and is portrayed as gleeful in his ignorance of everyone and everything in Scarlet's life.<br /><br />One reviewer enjoyed the Scarlet and ex-hubby fight scene where her survival, a car in this instance, requires she physically attack her ex hubbie. Does Freeman run to her defense....naw...he's cowering in disbelief and totally incapable of dealing with such a blunt aspect of her very real, sorry lot in life. <br /><br />Freeman's character believes a car wash and new very revealing, tight fitting blouse is the key to Scarlet's job interview. Another sign that Freeman is CLUELESS. Freeman's endless 'stage talk' where all aspects of Scarlet's reality are reduced to one or another stage related Freeman experience was irritating. <br /><br />Freeman is right to emphasize that Scarlet is young with her future ahead of her and then conveniently ignores the brick walls she faces vis a vis: uneducated, no white collar skills or experience, VERY POOR, no family support and a lifetime of low self esteem. Scarlet learns such life lessons from Freeman as: some people pay $100 for a T-shirt and a revealing blouse may open doors in lieu of her lack of education and white collar job skills. In the end Freeman offers Scarlet little more than strange diversion with a 'star',not even paying for gas for Scarlet's dead of night return to her unchanged life in a town the name of which Freeman cares not to know.",0,i had high expectations for this indie having perused the many thumbs up reviews  then     heres my additional two cents to the already posted  excellent lost in translation review  premise  morgan is stuck in a dusty small town where he meets lovely scarlet who is working in the local supermarket  can morgan help elevate the lovely scarlet from her trailer trash life  realistic dialog  not  how about that shopping in target  first  freeman looks at the target interior as if hes walked into harrods  then  hes bowled over at a t shirt rack confirming he has never been in any store visited by lovely scarlet  morgan is detached from any and all aspects of scarlets reality and is portrayed as gleeful in his ignorance of everyone and everything in scarlets life  one reviewer enjoyed the scarlet and ex hubby fight scene where her survival  a car in this instance  requires she physically attack her ex hubbie  does freeman run to her defense    naw   hes cowering in disbelief and totally incapable of dealing with such a blunt aspect of her very real  sorry lot in life   freemans character believes a car wash and new very revealing  tight fitting blouse is the key to scarlets job interview  another sign that freeman is clueless  freemans endless stage talk where all aspects of scarlets reality are reduced to one or another stage related freeman experience was irritating   freeman is right to emphasize that scarlet is young with her future ahead of her and then conveniently ignores the brick walls she faces vis a vis  uneducated  no white collar skills or experience  very poor  no family support and a lifetime of low self esteem  scarlet learns such life lessons from freeman as  some people pay  100 for a t shirt and a revealing blouse may open doors in lieu of her lack of education and white collar job skills  in the end freeman offers scarlet little more than strange diversion with a star not even paying for gas for scarlets dead of night return to her unchanged life in a town the name of which freeman cares not to know 
"I love Claire Danes, and Kate Beckinsale looks amazingly immature in her role. The movie is flawed only because it seems the two accused seem to be in some Monastery, working like monks in the grass and under strict almost martial-arts-like discipline. The acting and filmography and amazing colors of what is supposed-to-be Thailand is eye-catching, but Claire Daines steals the entire movie, and is unexpectedly profound in her learning the hard lesson of life itself to the very end, in an act of amazing unselfishness unheard of and completely unexpected in the real world. The flaws are minute and I recommend the film, which seems buried sadly forever to rare TV showings. I for one want the film for my collection- a collection of only ""10"" rated films. Watch it, you will be very touched.",1,i love claire danes  and kate beckinsale looks amazingly immature in her role  the movie is flawed only because it seems the two accused seem to be in some monastery  working like monks in the grass and under strict almost martial arts like discipline  the acting and filmography and amazing colors of what is supposed to be thailand is eye catching  but claire daines steals the entire movie  and is unexpectedly profound in her learning the hard lesson of life itself to the very end  in an act of amazing unselfishness unheard of and completely unexpected in the real world  the flaws are minute and i recommend the film  which seems buried sadly forever to rare tv showings  i for one want the film for my collection  a collection of only  10  rated films  watch it  you will be very touched 
"while watching this piece of crap! The Day after, I saw a 1min Trailer - that one minute included all, ALL what was at least not boring to watch...<br /><br />so don't waste money or time on this one, get the original, it's much better though the effects might not be up to date...",0,while watching this piece of crap  the day after  i saw a 1min trailer   that one minute included all  all what was at least not boring to watch    so dont waste money or time on this one  get the original  its much better though the effects might not be up to date   
"While not as bad as his game-to-movie adaptations, this hunk of crud doesn't fare much better.<br /><br />Boll seems to have a pathological inability to accept that he doesn't make good movies. One of these days he'll run out of money and stop inflicting the world with his bombs.<br /><br />The acting was sub-par, the dialog sounded like they were reading TelePrompTers and Boll's special little 'touches' were seen throughout the whole thing.<br /><br />Like all Uwe Boll movies, this one just shouldn't exist.<br /><br />Plain and simple.<br /><br />Just like Uwe Boll himself shouldn't exist. >_>",0,while not as bad as his game to movie adaptations  this hunk of crud doesnt fare much better  boll seems to have a pathological inability to accept that he doesnt make good movies  one of these days hell run out of money and stop inflicting the world with his bombs  the acting was sub par  the dialog sounded like they were reading teleprompters and bolls special little touches were seen throughout the whole thing  like all uwe boll movies  this one just shouldnt exist  plain and simple  just like uwe boll himself shouldnt exist     
"This is an early film ""Pilot"" for the hit Canadian tv show Trailer Park Boys. It was played to executives at a few networks before Showcase decided to sign them up for a tv series. Great acting and a very funny cast make this one of the best cult comedy films. The movie plot is that these two small time criminals go around ""exterminating"" peoples pets for money. If you have a dog next door whos barking all night these are the guys you go to! But they get into trouble when they come across a job too big for them to deal with and end up in a shootout. Watch this movie if you want to understand the beginning of the tv series. I highly recommend it!<br /><br />Rated R for swearing, violence, and drug use.<br /><br />Its not too offensive either (they dont actually show killing animals)",1,this is an early film  pilot  for the hit canadian tv show trailer park boys  it was played to executives at a few networks before showcase decided to sign them up for a tv series  great acting and a very funny cast make this one of the best cult comedy films  the movie plot is that these two small time criminals go around  exterminating  peoples pets for money  if you have a dog next door whos barking all night these are the guys you go to  but they get into trouble when they come across a job too big for them to deal with and end up in a shootout  watch this movie if you want to understand the beginning of the tv series  i highly recommend it  rated r for swearing  violence  and drug use  its not too offensive either  they dont actually show killing animals 
"A demented scientist girlfriend is decapitated so he brings her head back to life. Honest this is the plot of the movie. He try's to get her another body he searches through the sleaze area of town for that perfect body. For some reason he has ugly looking monster in a closet at his cabin. The sleaze style of the movie is laughable. No one in the movie can actually act including the head. The closet monster is a man with a mask tie on and you can really tell. The plot is slow, weak and the ending is so badly done. Watch the Mystery Science Theater 3000 version of this move. Believe me folks I wouldn't watch this movie on its own.",0,a demented scientist girlfriend is decapitated so he brings her head back to life  honest this is the plot of the movie  he trys to get her another body he searches through the sleaze area of town for that perfect body  for some reason he has ugly looking monster in a closet at his cabin  the sleaze style of the movie is laughable  no one in the movie can actually act including the head  the closet monster is a man with a mask tie on and you can really tell  the plot is slow  weak and the ending is so badly done  watch the mystery science theater 3000 version of this move  believe me folks i wouldnt watch this movie on its own 
"This spectacular film is one of the most amazing movies I have ever seen. It shows a China I had never seen or imagined, and I believe it shows 1930's China in the most REAL light ever seen in a movie. It is absolutely heart-breaking in so many situations, seeing how hard life was for the characters, and yet the story and the ending are incredibly joyful. You truly see the depths and heigths of human existence in this film. The actors are all perfect, such that you feel like you have really entered a different world. <br /><br />I simply can not recommend this movie highly enough. It may just change you forever once you have seen it.",1,this spectacular film is one of the most amazing movies i have ever seen  it shows a china i had never seen or imagined  and i believe it shows 1930s china in the most real light ever seen in a movie  it is absolutely heart breaking in so many situations  seeing how hard life was for the characters  and yet the story and the ending are incredibly joyful  you truly see the depths and heigths of human existence in this film  the actors are all perfect  such that you feel like you have really entered a different world   i simply can not recommend this movie highly enough  it may just change you forever once you have seen it 
